x,y,height
-100,225,6.4855
-100,250,4.6463
-75,-250,5.3239
-75,-225,7.1631
-75,-200,8.8087
-75,-175,10.2607
-75,-150,11.5191
-75,-125,12.5838
-75,-100,13.4550
-75,-75,14.1326
-75,-50,14.6166
-75,-25,14.9070
-75,0,15.0038
-75,25,14.9070
-75,50,14.6166
-75,75,14.1326
-75,100,13.4550
-75,125,12.5838
-75,150,11.5191
-75,175,10.2607
-75,200,8.8087
-75,225,7.1631
-75,250,5.3239
-50,-250,5.8079
-50,-225,7.6471
-50,-200,9.2927
-50,-175,10.7447
-50,-150,12.0030
-50,-125,13.0678
-50,-100,13.9390
-50,-75,14.6166
-50,-50,15.1006
-50,-25,15.3910
-50,0,15.4878
-50,25,15.3910
-50,50,15.1006
-50,75,14.6166
-50,100,13.9390
-50,125,13.0678
-50,150,12.0030
-50,175,10.7447
-50,200,9.2927
-50,225,7.6471
-50,250,5.8079
-25,-250,6.0983
-25,-225,7.9375
-25,-200,9.5831
-25,-175,11.0351
-25,-150,12.2934
-25,-125,13.3582
-25,-100,14.2294
-25,-75,14.9070
-25,-50,15.3910
-25,-25,15.6814
-25,0,15.7782
-25,25,15.6814
-25,50,15.3910
-25,75,14.9070
-25,100,14.2294
-25,125,13.3582
-25,150,12.2934
-25,175,11.0351
-25,200,9.5831
-25,225,7.9375
-25,250,6.0983
0,-250,6.1951
0,-225,8.0343
0,-200,9.6799
0,-175,11.1319
0,-150,12.3902
0,-125,13.4550
0,-100,14.3262
0,-75,15.0038
0,-50,15.4878
0,-25,15.7782
0,0,15.8750
0,25,15.7782
0,50,15.4878
0,75,15.0038
0,100,14.3262
0,125,13.4550
0,150,12.3902
0,175,11.1319
0,200,9.6799
0,225,8.0343
0,250,6.1951
25,-250,6.0983
25,-225,7.9375
25,-200,9.5831
25,-175,11.0351
25,-150,12.2934
25,-125,13.3582
25,-100,14.2294
25,-75,14.9070
25,-50,15.3910
25,-25,15.6814
25,0,15.7782
25,25,15.6814
25,50,15.3910
25,75,14.9070
25,100,14.2294
25,125,13.3582
25,150,12.2934
25,175,11.0351
25,200,9.5831
25,225,7.9375
25,250,6.0983
50,-250,5.8079
50,-225,7.6471
50,-200,9.2927
50,-175,10.7447
50,-150,12.0030
50,-125,13.0678
50,-100,13.9390
50,-75,14.6166
50,-50,15.1006
50,-25,15.3910
50,0,15.4878
50,25,15.3910
50,50,15.1006
50,75,14.6166
50,100,13.9390
50,125,13.0678
50,150,12.0030
50,175,10.7447
50,200,9.2927
50,225,7.6471
50,250,5.8079
75,-250,5.3239
75,-225,7.1631
75,-200,8.8087
75,-175,10.2607
75,-150,11.5191
75,-125,12.5838
75,-100,13.4550
75,-75,14.1326
75,-50,14.6166
75,-25,14.9070
75,0,15.0038
75,25,14.9070
75,50,14.6166
75,75,14.1326
75,100,13.4550
75,125,12.5838
75,150,11.5191
75,175,10.2607
75,200,8.8087
75,225,7.1631
75,250,5.3239
100,-250,4.6463
100,-225,6.4855
100,-200,8.1311
100,-175,9.5831
100,-150,10.8415
100,-125,11.9062
100,-100,12.7774
100,-75,13.4550
100,-50,13.9390
100,-25,14.2294
100,0,14.3262
100,25,14.2294
100,50,13.9390
100,75,13.4550
100,100,12.7774
100,125,11.9062
100,150,10.8415
100,175,9.5831
100,200,8.1311
100,225,6.4855
100,250,4.6463
125,-250,3.7752
125,-225,5.6143
125,-200,7.2599
125,-175,8.7119
125,-150,9.9703
125,-125,11.0351
125,-100,11.9062
125,-75,12.5838
125,-50,13.0678
125,-25,13.3582
125,0,13.4550
125,25,13.3582
125,50,13.0678
125,75,12.5838
125,100,11.9062
125,125,11.0351
125,150,9.9703
125,175,8.7119
125,200,7.2599
125,225,5.6143
125,250,3.7752
150,-250,2.7104
150,-225,4.5495
150,-200,6.1951
150,-175,7.6471
150,-150,8.9055
150,-125,9.9703
150,-100,10.8415
150,-75,11.5191
150,-50,12.0030
150,-25,12.2934
150,0,12.3902
150,25,12.2934
150,50,12.0030
150,75,11.5191
150,100,10.8415
150,125,9.9703
150,150,8.9055
150,175,7.6471
150,200,6.1951
150,225,4.5495
150,250,2.7104
175,-250,1.4520
175,-225,3.2912
175,-200,4.9367
175,-175,6.3887
175,-150,7.6471
175,-125,8.7119
175,-100,9.5831
175,-75,10.2607
175,-50,10.7447
175,-25,11.0351
175,0,11.1319
175,25,11.0351
175,50,10.7447
175,75,10.2607
175,100,9.5831
175,125,8.7119
175,150,7.6471
175,175,6.3887
175,200,4.9367
175,225,3.2912
175,250,1.4520
200,-250,0.0000
200,-225,1.8392
200,-200,3.4848
200,-175,4.9367
200,-150,6.1951
200,-125,7.2599
200,-100,8.1311
200,-75,8.8087
200,-50,9.2927
200,-25,9.5831
200,0,9.6799
200,25,9.5831
200,50,9.2927
200,75,8.8087
200,100,8.1311
200,125,7.2599
200,150,6.1951
200,175,4.9367
200,200,3.4848
200,225,1.8392
200,250,0.0000
