x,y,height
50,50,18.1207
50,75,17.5399
50,100,16.7268
50,125,15.6814
50,150,14.4037
50,175,12.8936
50,200,11.1512
50,225,9.1765
50,250,6.9695
75,-250,6.3887
75,-225,8.5957
75,-200,10.5704
75,-175,12.3128
75,-150,13.8229
75,-125,15.1006
75,-100,16.1460
75,-75,16.9591
75,-50,17.5399
75,-25,17.8884
75,0,18.0046
75,25,17.8884
75,50,17.5399
75,75,16.9591
75,100,16.1460
75,125,15.1006
75,150,13.8229
75,175,12.3128
75,200,10.5704
75,225,8.5957
75,250,6.3887
100,-250,5.5756
100,-225,7.7826
100,-200,9.7573
100,-175,11.4997
100,-150,13.0098
100,-125,14.2875
100,-100,15.3329
100,-75,16.1460
100,-50,16.7268
100,-25,17.0753
100,0,17.1915
100,25,17.0753
100,50,16.7268
100,75,16.1460
100,100,15.3329
100,125,14.2875
100,150,13.0098
100,175,11.4997
100,200,9.7573
100,225,7.7826
100,250,5.5756
125,-250,4.5302
125,-225,6.7372
125,-200,8.7119
125,-175,10.4543
125,-150,11.9643
125,-125,13.2421
125,-100,14.2875
125,-75,15.1006
125,-50,15.6814
125,-25,16.0299
125,0,16.1460
125,25,16.0299
125,50,15.6814
125,75,15.1006
125,100,14.2875
125,125,13.2421
125,150,11.9643
125,175,10.4543
125,200,8.7119
125,225,6.7372
125,250,4.5302
150,-250,3.2524
150,-225,5.4595
150,-200,7.4341
150,-175,9.1765
150,-150,10.6866
150,-125,11.9643
150,-100,13.0098
150,-75,13.8229
150,-50,14.4037
150,-25,14.7521
150,0,14.8683
150,25,14.7521
150,50,14.4037
150,75,13.8229
150,100,13.0098
150,125,11.9643
150,150,10.6866
150,175,9.1765
150,200,7.4341
150,225,5.4595
150,250,3.2524
175,-250,1.7424
175,-225,3.9494
175,-200,5.9241
175,-175,7.6665
175,-150,9.1765
175,-125,10.4543
175,-100,11.4997
175,-75,12.3128
175,-50,12.8936
175,-25,13.2421
175,0,13.3582
175,25,13.2421
175,50,12.8936
175,75,12.3128
175,100,11.4997
175,125,10.4543
175,150,9.1765
175,175,7.6665
175,200,5.9241
175,225,3.9494
175,250,1.7424
200,-250,0.0000
200,-225,2.2070
200,-200,4.1817
200,-175,5.9241
200,-150,7.4341
200,-125,8.7119
200,-100,9.7573
200,-75,10.5704
200,-50,11.1512
200,-25,11.4997
200,0,11.6159
200,25,11.4997
200,50,11.1512
200,75,10.5704
200,100,9.7573
200,125,8.7119
200,150,7.4341
200,175,5.9241
200,200,4.1817
200,225,2.2070
200,250,0.0000
